1987,10,175568
1987,11,177218
1987,12,218858
1988,1,198610
1988,10,162211
1988,11,175123
1988,12,189137
1988,2,177939
1988,3,187141
1988,4,159216
1988,5,164107
1988,6,165596
1988,7,174844
1988,8,175591
1988,9,138322
1989,1,178161
1989,10,173312
1989,11,176805
1989,12,213745
1989,2,181324
1989,3,204720
1989,4,157890
1989,5,170654
1989,6,201395
1989,7,187426
1989,8,203535
1989,9,154504
1990,1,192521
1990,10,182707
1990,11,173768
1990,12,218597
1990,2,184949
1990,3,205043
1990,4,174695
1990,5,174125
1990,6,188768
1990,7,186310
1990,8,210335
1990,9,160184
1991,1,203500
1991,10,174082
1991,11,167768
1991,12,203388
1991,2,160719
1991,3,185433
1991,4,178541
1991,5,177146
1991,6,178767
1991,7,184046
1991,8,191689
1991,9,146535
1992,1,178973
1992,10,171109
1992,11,185240
1992,12,224848
1992,2,168341
1992,3,193367
1992,4,163937
1992,5,174097
1992,6,207596
1992,7,217399
1992,8,220465
1992,9,171697
1993,1,202742
1993,2,185820
1993,3,114697
